name, x, y, status, room, display
Comp 2,210,375,free,imc,2
Comp 3,212,323,free,imc,3
Comp 4,154,322,free,imc,4
Comp 5,299,373,free,imc,5
Comp 6,298,322,free,imc,6
Comp 7,356,323,free,imc,7
Comp 8,354,375,free,imc,8
Comp 9,152,231,free,imc,9
Comp 10,151,180,free,imc,10
Comp 11,209,181,free,imc,11
Comp 12,207,233,free,imc,12
Comp 13,292,231,free,imc,13
Comp 14,291,180,free,imc,14
Comp 15,349,181,free,imc,15
Comp 16,347,233,free,imc,16
Comp 17,481,231,free,imc,17
Comp 18,480,180,free,imc,18
Comp 19,538,181,free,imc,19
Comp 20,536,233,free,imc,20
Comp 21,609,231,free,imc,21
Comp 22,608,180,free,imc,22
Comp 23,666,181,free,imc,23
Comp 24,664,233,free,imc,24
Comp 25,733,230,free,imc,25
Comp 26,732,179,free,imc,26
Comp 27,790,180,free,imc,27
Comp 28,788,232,free,imc,28
Comp 30,245,21,free,imc,30
Comp 31,376,21,free,imc,31
Comp 32,506,21,free,imc,32
Comp 33,635,22,free,imc,33
